LANG_ID,CLASS_ID,matterExpenseId,CLIENT_ID,MATTER_NO,CASEINFO_NO,EXP_CODE,EXP_AMOUNT,EXP_TEXT,EXP_TYPE,BILL_TYPE,STATUS_ID,Isdeleted,CTD_BY,CTD_ON
EN,2,24,5389,5389-221,888888,PW,715,"Filing fee for I-601A Application for Provisional Unlawful Presence Waiver  payable to ""U.S. Department of Homeland Security",Debit,Billable,38,0,admin,4/25/2022
EN,2,25,5389,5389-221,888888,NVC,325,"National Visa Center Immigrant Visa Payment payable to ""U.S. Department of State""",Debit,Billable,38,0,admin,4/4/2022
EN,2,26,3852,3852-211,888888,FED,24.59,Federal Express fee for package mailed on 03.31.2022 to I-539 (Box 660166) USCIS (Tracking No.:776449522953),Debit,Billable,38,0,admin,4/7/2022
EN,1,27,53920,53920-01,888888,ADV,500,Advance paid on Client's Behalf Marcos Hinojosa,Debit,Billable,38,0,admin,4/8/2022
EN,2,28,3987,53987-01,888888,BC,1,"Criminal Background Check payable to "" Harris County District Clerk""",Debit,Billable,38,0,admin,4/18/2022
EN,1,29,50963,50963-03,888888,MI,33.9,Drop off items to Ammy Huddleston.,Debit,Billable,38,0,admin,4/2/2022
EN,1,30,50963,50963-03,888888,MI,33.9,Drop off Items to Amy Huddleston.,Debit,Billable,38,0,admin,4/9/2022
EN,1,31,51054,51054-11,888888,SOP,126.8,"Service of Process of Writ of Scire Facias to Michelle Carter in Huffman, Texas. Invoice No. 6928494.",Debit,Billable,38,0,admin,4/13/2022
EN,1,32,51054,51054-11,888888,MED,1100,Mediation services per party for a full-day session.  Mediator Suzanne Johnson.,Debit,Billable,38,0,admin,4/18/2022
EN,2,34,5948,5948-201,888888,FED,17.57,Federal Express fee for package mailed on 03.31.2022  to Office of the Chief Counsel (Tracking No.:776443328785),Debit,Billable,38,0,admin,4/7/2022
EN,2,35,8608,8608-211,888888,NVC,445,"National Visa Center Immigrant Visa Payment payable to ""U.S. Department of State""",Debit,Billable,38,0,admin,4/19/2022
EN,2,37,6838,6838-211,888888,FED,23.08,Federal Express fee for package mailed on 03.29.2022  to Noe Jaimes (Tracking No.:776247581185),Debit,Billable,38,0,admin,4/7/2022
EN,2,39,9187,9187-211,888888,FED,26.43,Federal Express fee for package mailed on 04.01.2022 to Josefina Santoyo (Tracking No.:776471491893),Debit,Billable,38,0,admin,4/7/2022
EN,2,40,8382,8382-211,888888,PW,715,"Filing fee for I-601A Application for Provisional Unlawful Presence Waiver  payable to ""U.S. Department of Homeland Security",Debit,Billable,38,0,admin,4/5/2022
EN,2,55,9231,9231-221,888888,TN,338.73,"Filing Fee for TN/TD Nonimmigrant Visa Process payable to ""U.S. Department of State""",Debit,Billable,38,0,admin,4/5/2022
