paymentid,invoice_no,class_id,client_id,ctd_by,ctd_on,lang_id,matter_no,payment_amount,payment_date,payment_number,payment_text,posting_date,status_id,transaction_type,payment_code
2455223,0,1,50090,admin,2021-06-17,EN,50090-01,28.50,2021-06-17,22021,Write Off of Fees,2021-06-17,WOF,PAYMENT,WOF
2455224,546,1,500952,admin,2019-07-18,EN,500952-01,1200.00,2019-07-18,1725,Check Number 37758 against Inv# 546,2019-07-18,FPD,PAYMENT,FPD
2455225,0,1,500952,admin,2020-06-12,EN,500952-01,300.00,2020-06-12,11404,Write Off of Fees,2020-06-12,WOF,PAYMENT,WOF
2455226,486,1,50102,admin,2019-11-30,EN,50102-01,1645.00,2019-11-30,5725,Check Number 85161 against Inv# 486,2019-11-30,FPD,PAYMENT,FPD
2455227,4554,1,50102,admin,2020-04-27,EN,50102-01,70.00,2020-04-27,9972,Check Number 87030 against Inv# 4554,2020-04-27,FPD,PAYMENT,FPD
2455228,6975,1,50102,admin,2020-12-28,EN,50102-01,210.00,2020-12-28,16047,Check Number 90579 against Inv# 6975,2020-12-28,FPD,PAYMENT,FPD
2455229,10170,1,50102,admin,2021-06-30,EN,50102-01,152.50,2021-06-30,22347,Check Number 93062 against Inv# 10170,2021-06-30,FPD,PAYMENT,FPD
2455230,14914,1,50136,admin,2022-04-29,EN,50136-02,227.50,2022-04-29,32196,Check Number 004695 against Inv# 14914,2022-04-29,FPD,PAYMENT,FPD
2455231,1028,1,50136,admin,2021-08-17,EN,50136-03,263.75,2021-08-17,24453,Check Number 4566 against Inv# 1028,2021-08-17,FPD,PAYMENT,FPD
2455232,108,1,50136,admin,2021-08-17,EN,50136-03,2358.50,2021-08-17,24454,Check Number 4566 against Inv# 108,2021-08-17,FPD,PAYMENT,FPD
2455233,1790,1,50136,admin,2021-08-17,EN,50136-03,101.75,2021-08-17,24455,Check Number 4566 against Inv# 1790,2021-08-17,FPD,PAYMENT,FPD
2455234,2338,1,50136,admin,2021-08-17,EN,50136-03,129.50,2021-08-17,24456,Check Number 4566 against Inv# 2338,2021-08-17,FPD,PAYMENT,FPD
2455235,2851,1,50136,admin,2021-08-17,EN,50136-03,27.75,2021-08-17,24457,Check Number 4566 against Inv# 2851,2021-08-17,FPD,PAYMENT,FPD
2455236,3280,1,50136,admin,2021-08-17,EN,50136-03,632.44,2021-08-17,24458,Check Number 4566 against Inv# 3280,2021-08-17,HPD,PAYMENT,HPD
2455237,645,1,50136,admin,2021-08-17,EN,50136-03,694.25,2021-08-17,24459,Check Number 4566 against Inv# 645,2021-08-17,FPD,PAYMENT,FPD
2455238,0,1,50136,admin,2021-08-18,EN,50136-03,4207.92,2021-08-18,24504,Write Off of Fees - 50% discount per JMM,2021-08-18,WOF,PAYMENT,WOF
2455239,0,1,50138,admin,2022-04-22,EN,50138-01,1718.10,2022-04-22,31859,Write Off of Fees,2022-04-22,WOF,PAYMENT,WOF
2455240,5414,1,50141,admin,2020-08-20,EN,50141-01,357.50,2020-08-20,13929,Check Number 110580 against Inv# 5414,2020-08-20,FPD,PAYMENT,FPD
2455241,5723,1,50141,admin,2020-08-20,EN,50141-01,27.50,2020-08-20,13930,Check Number 110581 against Inv# 5723,2020-08-20,FPD,PAYMENT,FPD
2455242,0,1,50170,admin,2020-12-29,EN,50170-01,4432.00,2020-12-29,16095,Write Off of Fees - As per the list provided,2020-12-29,WOF,PAYMENT,WOF
2455243,2595,1,50180,admin,2019-11-27,EN,50180-01,18.50,2019-11-27,5690,Check Number 14086 against Inv# 2595,2019-11-27,FPD,PAYMENT,FPD
2455244,2596,1,50180,admin,2019-11-27,EN,50180-01,405.50,2019-11-27,5691,Check Number both apache checks 09600 & 14086 against Inv# 2596,2019-11-27,FPD,PAYMENT,FPD
2455245,0,1,50180,admin,2020-01-31,EN,50180-01,1008.50,2020-01-31,7362,Credit to Account. Payment did not want to post 15096,2020-01-31,CRE,PAYMENT,CRE
2455246,0,1,50180,admin,2020-10-12,EN,50180-01,500.00,2020-10-12,14174,Write Off of Fees Per RMW's email on 10/12/20. It was not supposed to be billed.,2020-10-12,WOF,PAYMENT,WOF
2455247,625,1,50180,admin,2019-11-27,EN,50180-02,220.50,2019-11-27,5687,Check Number 09600 against Inv# 625,2019-11-27,FPD,PAYMENT,FPD
2455248,995,1,50180,admin,2019-11-27,EN,50180-02,422.50,2019-11-27,5688,Check Number 09600 against Inv# 995,2019-11-27,FPD,PAYMENT,FPD
2455249,0,1,50180,admin,2021-06-05,EN,50180-02,215.00,2021-06-05,20910,Write Off of Fees - Confirmed,2021-06-05,WOF,PAYMENT,WOF
2455250,0,1,50184,admin,2020-09-21,EN,50184-01,1135.00,2020-09-21,13777,Write Off of Fees - Per Debora's Write off list approved by JMM,2020-09-21,WOF,PAYMENT,WOF
2455251,7020,1,50194,admin,2020-12-17,EN,50194-01,877.50,2020-12-17,15959,Check Number 13455 Inv #7020 against Inv# 7020,2020-12-17,FPD,PAYMENT,FPD
2455252,0,1,50237,admin,2019-12-04,EN,50237-01,200.00,2019-12-04,5899,Check Number 867,2019-12-04,FPD,PAYMENT,FPD
2455253,0,1,50237,admin,2019-12-09,EN,50237-01,200.00,2019-12-09,6074,Check Number 871,2019-12-09,FPD,PAYMENT,FPD
2455254,0,1,50237,admin,2020-01-08,EN,50237-01,200.00,2020-01-08,6742,Check Number 874,2020-01-08,FPD,PAYMENT,FPD
2455255,0,1,50237,admin,2020-02-07,EN,50237-01,200.00,2020-02-07,7700,Check Number 878,2020-02-07,FPD,PAYMENT,FPD
2455256,0,1,50237,admin,2020-05-01,EN,50237-01,200.00,2020-05-01,10207,Check Number 883,2020-05-01,FPD,PAYMENT,FPD
2455257,0,1,50237,admin,2020-06-08,EN,50237-01,200.00,2020-06-08,11293,Check Number 887,2020-06-08,FPD,PAYMENT,FPD
2455258,0,1,50237,admin,2020-08-27,EN,50237-01,200.00,2020-08-27,13172,Check Number 897,2020-08-27,FPD,PAYMENT,FPD
2455259,0,1,50237,admin,2020-10-05,EN,50237-01,200.00,2020-10-05,14103,Check Number 901,2020-10-05,FPD,PAYMENT,FPD
2455260,0,1,50237,admin,2020-11-13,EN,50237-01,6887.25,2020-11-13,15298,Check Number 111,2020-11-13,FPD,PAYMENT,FPD
2455261,136,1,50263,admin,2019-07-18,EN,50263-01,1670.00,2019-07-18,1726,Check Number 20444 against Inv# 136 (Prior Balance on  Inv# 528),2019-07-18,FPD,PAYMENT,FPD
2455262,0,1,50263,admin,2019-07-22,EN,50263-01,1622.00,2019-07-22,1753,Visa-7290,2019-07-22,FPD,PAYMENT,FPD
2455263,3125,1,50263,admin,2020-01-29,EN,50263-01,4170.50,2020-01-29,7363,Check Number Approval Code against Inv# 3125,2020-01-29,FPD,PAYMENT,FPD
2455264,3367,1,50263,admin,2020-01-29,EN,50263-01,407.50,2020-01-29,7364,Check Number Approval Code 022234 against Inv# 3367,2020-01-29,FPD,PAYMENT,FPD
2455265,0,1,50291,admin,2020-06-17,EN,50291-01,1659.50,2020-06-17,11455,Write Off of Fees per Ruth,2020-06-17,WOF,PAYMENT,WOF
2455266,0,1,50291,admin,2019-08-23,EN,50291-02,14526.00,2019-08-23,2642,Check Number 065098,2019-08-23,FPD,PAYMENT,FPD
2455267,0,1,50317,admin,2019-10-10,EN,50317-01,55.50,2019-10-10,5041,Approval Code 026848,2019-10-10,FPD,PAYMENT,FPD
2455268,0,1,50317,admin,2019-11-07,EN,50317-01,5500.00,2019-11-07,5099,Approval Code 172345,2019-11-07,FPD,PAYMENT,FPD
2455269,0,1,50317,admin,2019-06-13,EN,50317-02,835.00,2019-06-13,3566,Credit Card Payment,2019-06-13,FPD,PAYMENT,FPD
2455270,15805,1,50328,admin,2022-05-04,EN,50328-01,719.50,2022-05-04,32275,Check Number 7564 against Inv# 15805,2022-05-04,FPD,PAYMENT,FPD
2455271,0,1,50337,admin,2019-08-03,EN,50337-01,1000.00,2019-08-03,2314,Check Number,2019-08-03,FPD,PAYMENT,FPD
2455272,0,1,50337,admin,2019-10-03,EN,50337-01,1000.00,2019-10-03,4303,Atty Fees,2019-10-03,FPD,PAYMENT,FPD
2455273,0,1,50337,admin,2019-11-03,EN,50337-01,1000.00,2019-11-03,5754,Check Number,2019-11-03,FPD,PAYMENT,FPD
2455274,0,1,50337,admin,2019-12-03,EN,50337-01,1000.00,2019-12-03,5961,Check Number Approval Code B90699,2019-12-03,FPD,PAYMENT,FPD
2455275,0,1,50337,admin,2020-01-03,EN,50337-01,1000.00,2020-01-03,7192,Check Number Approval Code B90708,2020-01-03,FPD,PAYMENT,FPD
2455276,0,1,50337,admin,2021-06-25,EN,50337-01,500.00,2021-06-25,22268,Credit Card Payment against Balance,2021-06-25,FPD,PAYMENT,FPD
2455277,0,1,50337,admin,2021-07-26,EN,50337-01,500.00,2021-07-26,23689,Credit Card Payment towards Balance,2021-07-26,FPD,PAYMENT,FPD
2455278,0,1,50337,admin,2021-08-25,EN,50337-01,500.00,2021-08-25,24688,Credit Card Payment towards Balance,2021-08-25,FPD,PAYMENT,FPD
2455279,0,1,50337,admin,2021-09-24,EN,50337-01,500.00,2021-09-24,25532,Credit Card Payment towards Balance,2021-09-24,FPD,PAYMENT,FPD
2455280,0,1,50337,admin,2021-10-25,EN,50337-01,500.00,2021-10-25,26527,Credit Card Payment towards Balance,2021-10-25,FPD,PAYMENT,FPD
2455281,0,1,50337,admin,2021-11-24,EN,50337-01,500.00,2021-11-24,27486,Credit Card Payment towards Balance,2021-11-24,FPD,PAYMENT,FPD
2455282,12932,1,50363,admin,2021-11-05,EN,50363-01,100.00,2021-11-05,26815,Check Number 66640 against Inv# 12932,2021-11-05,FPD,PAYMENT,FPD
2455283,10446,1,50363,admin,2021-07-12,EN,50363-02,3989.50,2021-07-12,22764,Check Number 65595 against Inv# 10446,2021-07-12,FPD,PAYMENT,FPD
2455284,0,1,50363,admin,2021-08-18,EN,50363-03,97.50,2021-08-18,24526,Write Off of Fees,2021-08-18,WOF,PAYMENT,WOF
2455285,17355,1,50363,admin,2022-07-26,EN,50363-04,3660.00,2022-07-26,34346,Check Number 069267 against Inv# 17355,2022-07-26,FPD,PAYMENT,FPD
2455286,17355,1,50363,admin,2022-07-26,EN,50363-04,328.53,2022-07-26,34347,Check Number 069267 against Inv# 17355,2022-07-26,HPD,PAYMENT,HPD
2455287,0,1,50370,admin,2021-06-05,EN,50370-01,1417.20,2021-06-05,20908,Write Off of Fees - Confirmed,2021-06-05,WOF,PAYMENT,WOF
2455288,13876,1,50384,admin,2022-05-13,EN,50384-01,992.50,2022-05-13,32548,Check Number 38003 against Inv# 13876,2022-05-13,FPD,PAYMENT,FPD
2455289,14334,1,50384,admin,2022-05-13,EN,50384-01,340.00,2022-05-13,32549,Check Number 38003 against Inv# 14334,2022-05-13,FPD,PAYMENT,FPD
2455290,0,1,50392,admin,2020-06-12,EN,50392-01,1402.25,2020-06-12,11389,Write Off of Fees,2020-06-12,WOF,PAYMENT,WOF
2455291,0,1,50393,admin,2020-06-12,EN,50393-01,222.40,2020-06-12,11412,Write Off of Fees,2020-06-12,WOF,PAYMENT,WOF
2455292,0,1,50394,admin,2019-04-30,EN,50394-01,5000.00,2019-04-30,7684,Trust Retainer,2019-04-30,TRS,PAYMENT,TRS
2455293,4556,1,50394,admin,2020-05-22,EN,50394-01,204.50,2020-05-22,10768,Check Number 005052 against Inv# 4556,2020-05-22,FPD,PAYMENT,FPD
2455294,4255,1,50394,admin,2020-05-22,EN,50394-01,1140.95,2020-05-22,10769,Check Number 005052 against Inv# 4255 (Prior Balance on  Inv# 4556),2020-05-22,FPD,PAYMENT,FPD
2455295,0,1,50410,admin,2020-06-12,EN,50410-01,249.34,2020-06-12,11402,Write Off of Fees Per JMM,2020-06-12,WOF,PAYMENT,WOF
2455296,0,1,50419,admin,2020-06-17,EN,50419-01,42.50,2020-06-17,11456,Write Off of Fees,2020-06-17,WOF,PAYMENT,WOF
2455297,0,1,50443,admin,2020-06-12,EN,50443-01,3176.95,2020-06-12,11388,Write Off of Fees Per JMM,2020-06-12,WOF,PAYMENT,WOF
2455298,14886,1,50452,admin,2022-02-16,EN,50452-02,360.00,2022-02-16,30007,Check Number 11862 against Inv# 14886,2022-02-16,FPD,PAYMENT,FPD
2455299,5457,1,50452,admin,2020-10-08,EN,50452-03,65.00,2020-10-08,14149,Check Number 11481 against Inv# 5457,2020-10-08,FPD,PAYMENT,FPD
2455300,3933,1,50452,admin,2020-10-08,EN,50452-03,810.50,2020-10-08,14150,Check Number 11481 against Inv# 3933,2020-10-08,FPD,PAYMENT,FPD
2455301,4340,1,50452,admin,2020-10-08,EN,50452-03,430.00,2020-10-08,14151,Check Number 11481 against Inv# 4340,2020-10-08,FPD,PAYMENT,FPD
2455302,0,1,50490,admin,2020-06-12,EN,50490-01,1768.50,2020-06-12,11406,Write Off of Fees,2020-06-12,WOF,PAYMENT,WOF
2455303,0,1,50500,admin,2022-01-31,EN,50500-01,1021.92,2022-01-31,29954,Check Number 75709 Refund Check for Bond,2022-01-31,FPD,PAYMENT,FPD
2455304,8529,1,50500,admin,2021-04-14,EN,50500-02,650.00,2021-04-14,19521,Credit Card Payment agaonst Inv# 8529,2021-04-14,FPD,PAYMENT,FPD
2455305,9203,1,50500,admin,2021-04-14,EN,50500-02,42.50,2021-04-14,19522,Credit Card Payment against Inv#9203,2021-04-14,FPD,PAYMENT,FPD
2455306,0,1,50500,admin,2022-05-18,EN,50500-02,1035.00,2022-05-18,33205,Credit Card,2022-05-18,FPD,PAYMENT,FPD
2455307,10513,1,50505,admin,2022-05-17,EN,50505-01,1825.00,2022-05-17,32639,Wire Transfer against Inv# 10513,2022-05-17,FPD,PAYMENT,FPD
2455308,0,1,50510,admin,2019-06-11,EN,50510-01,3800.00,2019-06-11,1875,Payment Received/Fees - Check #: VISA,2019-06-11,FPD,PAYMENT,FPD
2455309,4552,1,50525,admin,2020-05-18,EN,50525-01,240.00,2020-05-18,10675,Check Number 233250 against Inv# 4552,2020-05-18,FPD,PAYMENT,FPD
2455310,0,1,50555,admin,2020-06-12,EN,50555-06,390.25,2020-06-12,11411,Write Off of Fees,2020-06-12,WOF,PAYMENT,WOF
2455311,0,1,50566,admin,2022-04-19,EN,50566-01,7104.27,2022-04-19,31851,Write Off of Fees,2022-04-19,WOF,PAYMENT,WOF
2455312,6211,1,50583,admin,2020-10-05,EN,50583-01,567.50,2020-10-05,14107,Check Number 44626 against Inv# 6211,2020-10-05,FPD,PAYMENT,FPD
2455313,0,1,50589,admin,2020-07-17,EN,50589-01,617.50,2020-07-17,12226,Check Number 4972 agains Bounced check,2020-07-17,HPD,PAYMENT,HPD
2455314,0,1,50589,admin,2019-12-20,EN,50589-14,302.25,2019-12-20,15384,Check Number 45583,2019-12-20,FPD,PAYMENT,FPD
2455315,0,1,50589,admin,2019-12-20,EN,50589-14,200.00,2019-12-20,15385,Check Number 45583,2019-12-20,FPD,PAYMENT,FPD
2455316,0,1,50589,admin,2021-09-14,EN,50589-14,320.01,2021-09-14,25223,Write Off of Fees,2021-09-14,WOF,PAYMENT,WOF
2455317,0,1,50589,admin,2021-09-14,EN,50589-15,1110.00,2021-09-14,25224,Write Off of Fees,2021-09-14,WOF,PAYMENT,WOF
2455318,0,1,50589,admin,2019-12-20,EN,50589-16,50.00,2019-12-20,6389,Check Number 45583,2019-12-20,FPD,PAYMENT,FPD
2455319,16330,1,50589,admin,2022-05-27,EN,50589-20,315.00,2022-05-27,32782,Check Number 060477 against Inv# 16330,2022-05-27,FPD,PAYMENT,FPD
2455320,7315,1,50589,admin,2021-01-29,EN,50589-25,857.50,2021-01-29,17066,Check Number 52376 against Inv# 7315,2021-01-29,FPD,PAYMENT,FPD
2455321,0,1,50589,admin,2019-12-20,EN,50589-7,222.00,2019-12-20,15383,Check Number 45583,2019-12-20,FPD,PAYMENT,FPD
2455322,0,1,50589,admin,2019-12-20,EN,50589-7,166.50,2019-12-20,15382,Check Number 45583,2019-12-20,FPD,PAYMENT,FPD
2455323,0,1,50589,admin,2021-06-05,EN,50589-7,86.50,2021-06-05,20912,Write Off of Fees - Confirmed,2021-06-05,WOF,PAYMENT,WOF
2455324,0,1,50603,admin,2020-01-06,EN,50603-01,17.00,2020-01-06,6856,Check Number 12876,2020-01-06,FPD,PAYMENT,FPD
2455325,2747,1,50603,admin,2020-04-23,EN,50603-02,975.00,2020-04-23,9959,Check Number 13151 against Inv# 2747,2020-04-23,FPD,PAYMENT,FPD
2455326,0,1,50607,admin,2019-10-25,EN,50607-01,1833.00,2019-10-25,4584,Check Number 41013,2019-10-25,FPD,PAYMENT,FPD
2455327,0,1,50607,admin,2019-11-30,EN,50607-01,18644.25,2019-11-30,5734,Check Number 115805,2019-11-30,FPD,PAYMENT,FPD
2455328,0,1,50607,admin,2020-12-30,EN,50607-01,5572.00,2020-12-30,16103,Write Off of Fees - as per the list provided,2020-12-30,WOF,PAYMENT,WOF
2455329,0,1,50609,admin,2019-05-22,EN,50609-01,4000.00,2019-05-22,16091,Cash received on 5/22/2019,2019-05-22,FPD,PAYMENT,FPD
2455330,0,1,50609,admin,2021-01-19,EN,50609-01,4000.00,2021-01-19,16929,Cash Payment,2021-01-19,FPD,PAYMENT,FPD
2455331,0,1,50609,admin,2021-01-19,EN,50609-01,1840.00,2021-01-19,16939,Credit Card Payment,2021-01-19,FPD,PAYMENT,FPD
2455332,5076,1,50610,admin,2020-10-19,EN,50610-01,190.00,2020-10-19,14558,Check Number 215424 against Inv# 5076,2020-10-19,FPD,PAYMENT,FPD
2455333,4853,1,50610,admin,2020-10-19,EN,50610-01,1005.00,2020-10-19,14559,Check Number 215424 against Inv# 4853,2020-10-19,FPD,PAYMENT,FPD
2455334,4250,1,50617,admin,2020-05-12,EN,50617-01,129.50,2020-05-12,10603,Check Number 56899 against Inv# 4250,2020-05-12,FPD,PAYMENT,FPD
2455335,4250,1,50617,admin,2020-05-12,EN,50617-01,1184.75,2020-05-12,10604,Check Number 56899 against Inv# 4250,2020-05-12,FPD,PAYMENT,FPD
2455336,7969,1,50617,admin,2021-03-31,EN,50617-01,377.50,2021-03-31,18854,Check Number 57617 against Inv# 7969,2021-03-31,FPD,PAYMENT,FPD
2455337,4608,1,50622,admin,2020-07-24,EN,50622-01,520.00,2020-07-24,12284,Check Number 1677 against Inv# 4608,2020-07-24,FPD,PAYMENT,FPD
2455338,6427,1,50636,admin,2020-10-29,EN,50636-01,1335.00,2020-10-29,14837,Check Number 2883 against Inv# 6427,2020-10-29,FPD,PAYMENT,FPD
2455339,0,1,50636,admin,2020-11-24,EN,50636-01,416.69,2020-11-24,15489,Retainer Refund Received from Drumheller Holligsworth & Monthy LLP,2020-11-24,OUT,PAYMENT,OUT
2455340,2261,1,50636,admin,2019-10-28,EN,50636-02,1805.00,2019-10-28,4630,Check Number 002861 against Inv# 2261,2019-10-28,FPD,PAYMENT,FPD
2455341,2527,1,50636,admin,2019-10-17,EN,50636-03,23000.00,2019-10-17,4457,Check Number 1940 against Inv# 2527,2019-10-17,HPD,PAYMENT,HPD
2455342,2344,1,50636,admin,2019-10-24,EN,50636-03,812.50,2019-10-24,4569,Check Number 1948 against Inv# 2344,2019-10-24,FPD,PAYMENT,FPD
2455343,3370,1,50636,admin,2020-01-29,EN,50636-04,125.00,2020-01-29,7407,Check Number 3448 against Inv# 3370,2020-01-29,FPD,PAYMENT,FPD
2455344,4268,1,50636,admin,2020-03-20,EN,50636-06,570.00,2020-03-20,9108,Check Number 2379 against Inv# 4268,2020-03-20,FPD,PAYMENT,FPD
2455345,4268,1,50636,admin,2020-03-20,EN,50636-06,500.00,2020-03-20,9109,Check Number 2379 against Inv# 4268,2020-03-20,HPD,PAYMENT,HPD
2455346,2036,1,50649,admin,2019-11-19,EN,50649-01,2020.00,2019-11-19,5475,Check Number 37710 against Inv# 2036,2019-11-19,FPD,PAYMENT,FPD
2455347,2775,1,50649,admin,2019-12-23,EN,50649-01,932.50,2019-12-23,6387,Check Number 37788 against Inv# 2775,2019-12-23,FPD,PAYMENT,FPD
2455348,13524,1,50656,admin,2021-11-22,EN,50656-01,142.50,2021-11-22,27427,Credit Card Payment against Inv# 13524,2021-11-22,FPD,PAYMENT,FPD
2455349,0,1,50657,admin,2019-04-30,EN,50657-01,2408.50,2019-04-30,3641,Balance forward as of 4.30.2019,2019-04-30,FEE,PAYMENT,FEE
2455350,4615,1,50657,admin,2020-04-14,EN,50657-01,162.50,2020-04-14,9853,Check Number 03115G against Inv# 4615,2020-04-14,FPD,PAYMENT,FPD
2455351,10275,1,50657,admin,2021-07-22,EN,50657-01,265.50,2021-07-22,23262,Credit Card Payment against Inv# 10275,2021-07-22,FPD,PAYMENT,FPD
2455352,8020,1,50657,admin,2021-07-22,EN,50657-01,115.50,2021-07-22,23263,Credit Card Payment against Inv# 8020,2021-07-22,FPD,PAYMENT,FPD
2455353,0,1,50667,admin,2020-06-12,EN,50667-01,6277.90,2020-06-12,11405,Write Off of Fees,2020-06-12,WOF,PAYMENT,WOF
2455354,0,1,50677,admin,2021-09-14,EN,50677-1,1586.50,2021-09-14,25225,Write Off of Fees,2021-09-14,WOF,PAYMENT,WOF
2455355,7099,1,50680,admin,2021-01-11,EN,50680-01,2029.00,2021-01-11,16605,Check Number 439792 against Inv# 7099,2021-01-11,FPD,PAYMENT,FPD
2455356,0,1,50683,admin,2020-02-17,EN,50683-01,203.00,2020-02-17,9485,Check Number 105894,2020-02-17,FPD,PAYMENT,FPD
2455357,0,1,50689,admin,2020-07-14,EN,50689-01,157.50,2020-07-14,12069,Approval Code 236387,2020-07-14,FPD,PAYMENT,FPD
2455358,0,1,50689,admin,2019-11-22,EN,50689-02,2584.50,2019-11-22,5611,Approval Code 261234,2019-11-22,FPD,PAYMENT,FPD
2455359,779,1,50689,admin,2019-11-22,EN,50689-02,5.00,2019-11-22,5612,Approval Code 261234 against Inv# 779 (Prior Balance on,2019-11-22,FPD,PAYMENT,FPD
