paymentid,invoice_no,class_id,client_id,ctd_by,ctd_on,lang_id,matter_no,payment_amount,payment_date,payment_number,payment_text,posting_date,status_id,transaction_type,payment_code
5625497,0,2,10011,admin,2022-07-07,EN,10020-02,1725.00,2022-07-07,99999,VISA Payment,2022-07-07,FPD,PAYMENT,FPD
5625498,0,2,10023,admin,2022-07-08,EN,10023-01,500.00,2022-07-08,99999,Initial Payment,2022-07-08,FPD,PAYMENT,FPD
5625499,0,2,10023,admin,2022-07-08,EN,10023-01,112.50,2022-07-08,99999,Initial Payment,2022-07-08,HPD,PAYMENT,HPD
5625500,0,2,10024,admin,2022-07-07,EN,10024-01,2000.00,2022-07-07,99999,Visa Payment - Atty Fees,2022-07-07,FPD,PAYMENT,FPD
5625501,0,2,10024,admin,2022-07-07,EN,10024-01,600.00,2022-07-07,99999,Master Card Payment - Cost,2022-07-07,HPD,PAYMENT,HPD
5625502,0,2,10025,admin,2022-07-06,EN,10025-01,3000.00,2022-07-06,99999,VISA Payment,2022-07-06,FPD,PAYMENT,FPD
5625503,0,2,10025,admin,2022-07-06,EN,10025-01,450.00,2022-07-06,99999,VISA Payment,2022-07-06,HPD,PAYMENT,HPD
5625504,0,2,10025,admin,2022-07-06,EN,10025-02,500.00,2022-07-06,99999,VISA Payment,2022-07-06,FPD,PAYMENT,FPD
5625505,0,2,10025,admin,2022-07-06,EN,10025-02,75.00,2022-07-06,99999,VISA Payment,2022-07-06,HPD,PAYMENT,HPD
5625506,0,2,10011,admin,2022-07-12,EN,10030-01,3000.00,2022-07-12,99999,Check Number 2811,2022-07-12,FPD,PAYMENT,FPD
5625507,0,2,10011,admin,2022-07-12,EN,10030-01,250.00,2022-07-12,99999,Check Number 2811,2022-07-12,HPD,PAYMENT,HPD
5625508,0,2,10011,admin,2022-07-12,EN,10030-03,3000.00,2022-07-12,99999,Check Number 2811,2022-07-12,FPD,PAYMENT,FPD
5625509,0,2,10011,admin,2022-07-12,EN,10030-04,3250.00,2022-07-12,99999,Check Number 2811,2022-07-12,FPD,PAYMENT,FPD
5625510,0,2,10011,admin,2022-07-12,EN,10030-04,250.00,2022-07-12,99999,Check Number 2811,2022-07-12,HPD,PAYMENT,HPD
5625511,0,2,10011,admin,2022-07-12,EN,10030-05,2500.00,2022-07-12,99999,Check Number 2811,2022-07-12,FPD,PAYMENT,FPD
5625512,0,2,10011,admin,2022-07-12,EN,10030-05,250.00,2022-07-12,99999,Check Number 2811,2022-07-12,HPD,PAYMENT,HPD
5625513,0,2,10011,admin,2022-07-12,EN,10030-06,3000.00,2022-07-12,99999,Check Number 2811,2022-07-12,FPD,PAYMENT,FPD
5625514,0,2,10011,admin,2022-07-12,EN,10030-06,250.00,2022-07-12,99999,Check Number 2811,2022-07-12,HPD,PAYMENT,HPD
5625515,0,2,10011,admin,2022-07-12,EN,10030-07,2500.00,2022-07-12,99999,Check Number 2811,2022-07-12,FPD,PAYMENT,FPD
5625516,0,2,10011,admin,2022-07-12,EN,10030-07,250.00,2022-07-12,99999,Check Number 2811,2022-07-12,HPD,PAYMENT,HPD
5625517,0,2,10053,admin,2022-07-19,EN,10053-01,200.00,2022-07-19,99999,VISA Payment,2022-07-19,FPD,PAYMENT,FPD
5625518,0,2,10053,admin,2022-07-20,EN,10053-01,300.00,2022-07-20,99999,Attorney Fees,2022-07-20,FPD,PAYMENT,FPD
5625519,0,2,10053,admin,2022-07-20,EN,10053-01,75.00,2022-07-20,99999,Attorney Fees,2022-07-20,HPD,PAYMENT,HPD
5625520,8069,2,10059,admin,2019-06-28,EN,10059-01,121.00,2019-06-28,99999,Cash Payment,2019-06-28,FPD,PAYMENT,FPD
5625521,17251,2,5357,admin,2019-04-30,EN,10061-01,3247.00,2019-04-30,99999,Payment from TS - Funds,2019-04-30,FPD,PAYMENT,FPD
5625522,0,2,7272,admin,2019-04-30,EN,10062-01,288.38,2019-04-30,99999,MR Reconciliation - TS Funds - Admin Cost,2019-04-30,HPD,PAYMENT,HPD
5625523,4708,2,2690,admin,2019-07-26,EN,10063-01,536.00,2019-07-26,99999,LEGAL FEES,2019-07-26,FPD,PAYMENT,FPD
5625524,4708,2,2690,admin,2019-08-27,EN,10063-01,400.00,2019-08-27,99999,Atty Fees - Initial Fee,2019-08-27,FPD,PAYMENT,FPD
5625525,4708,2,2690,admin,2019-08-27,EN,10063-01,160.00,2019-08-27,99999,Atty Fees - Initial Fee,2019-08-27,HPD,PAYMENT,HPD
5625526,4708,2,2690,admin,2019-08-23,EN,10063-01,526.00,2019-08-23,99999,Atty Fees- Monthly Payment,2019-08-23,FPD,PAYMENT,FPD
5625527,4708,2,2690,admin,2019-06-27,EN,10063-01,572.00,2019-06-27,99999,Visa Payment,2019-06-27,FPD,PAYMENT,FPD
5625528,4708,2,2690,admin,2019-10-10,EN,10063-01,526.00,2019-10-10,99999,Atty Fees - Monthly Payment,2019-10-10,FPD,PAYMENT,FPD
5625529,4708,2,2690,admin,2020-02-10,EN,10063-01,520.00,2020-02-10,99999,Visa ending 0610 2.10.2020,2020-02-10,FPD,PAYMENT,FPD
5625530,4708,2,2690,admin,2020-02-21,EN,10063-01,520.00,2020-02-21,99999,Visa Payment,2020-02-21,FPD,PAYMENT,FPD
5625531,4708,2,2690,admin,2019-04-30,EN,10063-01,700.00,2019-04-30,99999,Payment from TS (Funds Account),2019-04-30,FPD,PAYMENT,FPD
5625532,0,2,7051,admin,2019-06-30,EN,10073-01,10.00,2019-06-30,99999,Write Off of Fees,2019-06-30,WOF,PAYMENT,WOF
5625533,0,2,7051,admin,2022-01-25,EN,10073-01,445.00,2022-01-25,99999,Visa Payment - Govt fees,2022-01-25,HPD,PAYMENT,HPD
5625534,4745,2,10075,admin,2019-05-09,EN,10075-02,104.03,2019-05-09,99999,Legal costs,2019-05-09,HPD,PAYMENT,HPD
5625535,4745,2,10075,admin,2020-01-17,EN,10075-02,445.00,2020-01-17,99999,M.O. 25034932,2020-01-17,HPD,PAYMENT,HPD
5625536,0,2,10075,admin,2020-09-02,EN,10075-02,445.00,2020-09-02,99999,Credit to Account- Client was invoiced twice for NVC fees - Firm only paid once.,2020-09-02,CRE,PAYMENT,CRE
5625537,0,2,10080,admin,2019-04-30,EN,10080-01,1400.00,2019-04-30,99999,Payment from TS (Funds Account),2019-04-30,FPD,PAYMENT,FPD
5625538,3830,2,10080,admin,2019-04-30,EN,10080-02,3500.00,2019-04-30,99999,Payment from TS (Funds Account),2019-04-30,FPD,PAYMENT,FPD
5625539,0,2,10080,admin,2020-01-31,EN,10080-02,14.92,2020-01-31,99999,Write Off of Fees,2020-01-31,WOF,PAYMENT,WOF
5625540,11014,2,MR2019,admin,2019-04-30,EN,10081-01,500.00,2019-04-30,99999,Payments from TS Funds Account - Atty Fees,2019-04-30,FPD,PAYMENT,FPD
5625541,0,2,50723,admin,2019-04-30,EN,10085-01,6370.00,2019-04-30,99999,Payments from TS Funds Account - Attorney Fees,2019-04-30,FPD,PAYMENT,FPD
5625542,0,2,10086,admin,2021-04-23,EN,10086-01,120.00,2021-04-23,99999,Mastercard Payment - Government Fees,2021-04-23,HPD,PAYMENT,HPD
5625543,0,2,10087,admin,2019-04-30,EN,1008761,4793.58,2019-04-30,99999,Payment from TS Funds Account,2019-04-30,FPD,PAYMENT,FPD
5625544,0,2,10087,admin,2019-04-30,EN,1008761,19.86,2019-04-30,99999,Payment from TS Funds Account,2019-04-30,HPD,PAYMENT,HPD
5625545,5116,2,10088,admin,2019-12-19,EN,10088-01,250.00,2019-12-19,99999,Atty Fees - Visa ending 5509,2019-12-19,FPD,PAYMENT,FPD
5625546,5116,2,10088,admin,2020-02-07,EN,10088-01,250.00,2020-02-07,99999,Legal Fees - Visa ending 5509,2020-02-07,FPD,PAYMENT,FPD
5625547,0,2,10088,admin,2019-04-30,EN,10088-01,2900.00,2019-04-30,99999,Payment from Funds Account in TS,2019-04-30,FPD,PAYMENT,FPD
5625548,2653,2,10089,admin,2019-04-30,EN,10089-01,3200.00,2019-04-30,99999,Payment from TS,2019-04-30,FPD,PAYMENT,FPD
5625549,0,2,10090,admin,2019-05-31,EN,10090-02,21.50,2019-05-31,99999,Write Off of Fees,2019-05-31,WOF,PAYMENT,WOF
5625550,10991,2,MR2019,admin,2019-04-30,EN,10090-03,115.00,2019-04-30,99999,Payments from TS Funds Account - Admin Cost,2019-04-30,HPD,PAYMENT,HPD
5625551,0,2,10091,admin,2019-08-26,EN,10091-01,1500.00,2019-08-26,99999,Check Number 934834 - Overpayment on RFE invoice,2019-08-26,FPD,PAYMENT,FPD
5625552,15710,2,10091,admin,2021-12-31,EN,10091-01,1345.00,2021-12-31,99999,Write Off of Fees,2021-12-31,WOF,PAYMENT,WOF
5625553,0,2,10092,admin,2021-12-28,EN,10092-01,188.00,2021-12-28,99999,Mastercard Payment - Atty Fees,2021-12-28,FPD,PAYMENT,FPD
5625554,0,2,10092,admin,2022-01-06,EN,10092-01,186.79,2022-01-06,99999,Mastercard Payment - Atty fees,2022-01-06,FPD,PAYMENT,FPD
5625555,0,2,4078,admin,2022-07-12,EN,1078-202,500.00,2022-07-12,99999,VISA Payment,2022-07-12,FPD,PAYMENT,FPD
5625556,0,2,4078,admin,2022-07-12,EN,1078-202,75.00,2022-07-12,99999,VISA Payment,2022-07-12,HPD,PAYMENT,HPD
5625557,0,2,2020,admin,2020-01-02,EN,2020-041,25.00,2020-01-02,99999,Check Number 1007,2020-01-02,FPD,PAYMENT,FPD
5625558,9816,2,IMM2021.1,admin,2021-04-20,EN,2021IMM1,150.00,2021-04-20,99999,Visa Payment - Attorney Fees - Hasan J. Taha,2021-04-20,FPD,PAYMENT,FPD
5625559,9816,2,IMM2021.1,admin,2021-04-27,EN,2021IMM1,150.00,2021-04-27,99999,Visa Payment - Attorney fees - Isidra Barreto Diaz,2021-04-27,FPD,PAYMENT,FPD
5625560,10428,2,IMM2021.1,admin,2021-05-04,EN,2021IMM1,150.00,2021-05-04,99999,Visa Payment - Attorney fees Esmeralda Alvizo,2021-05-04,FPD,PAYMENT,FPD
5625561,10428,2,IMM2021.1,admin,2021-05-27,EN,2021IMM1,150.00,2021-05-27,99999,Visa Payment - Attorney Fees - Leticia Garcia Salazar,2021-05-27,FPD,PAYMENT,FPD
5625562,10752,2,IMM2021.1,admin,2021-06-01,EN,2021IMM1,150.00,2021-06-01,99999,Visa Payment - Attorney Fees - Yimi cruz,2021-06-01,FPD,PAYMENT,FPD
5625563,10752,2,IMM2021.1,admin,2021-06-01,EN,2021IMM1,150.00,2021-06-01,99999,Visa Payment - Attorney Fees - Maria Vargas Lopez,2021-06-01,FPD,PAYMENT,FPD
5625564,10752,2,IMM2021.1,admin,2021-06-11,EN,2021IMM1,150.00,2021-06-11,99999,Cash Payment - Attorney Fees - Juan Herannadez Flores,2021-06-11,FPD,PAYMENT,FPD
5625565,10752,2,IMM2021.1,admin,2021-06-14,EN,2021IMM1,150.00,2021-06-14,99999,Visa Payment - Attorney Fees - Jenifer Moreno Bernal,2021-06-14,FPD,PAYMENT,FPD
5625566,10752,2,IMM2021.1,admin,2021-06-11,EN,2021IMM1,150.00,2021-06-11,99999,Mastercard Payment - Attorney Fees - Ibel Fonseca Zamora,2021-06-11,FPD,PAYMENT,FPD
5625567,10752,2,IMM2021.1,admin,2021-06-17,EN,2021IMM1,150.00,2021-06-17,99999,American Express - Attorney Fees - Hans Humphrey,2021-06-17,FPD,PAYMENT,FPD
5625568,10752,2,IMM2021.1,admin,2021-06-21,EN,2021IMM1,250.00,2021-06-21,99999,Visa Payment - Attorney Fees - Vsevolod Shurkhay,2021-06-21,FPD,PAYMENT,FPD
5625569,10752,2,IMM2021.1,admin,2021-06-29,EN,2021IMM1,150.00,2021-06-29,99999,Cash Payment - Atty Fees - Graciela Guerra,2021-06-29,FPD,PAYMENT,FPD
5625570,12107,2,IMM2021.1,admin,2021-07-16,EN,2021IMM1,150.00,2021-07-16,99999,Visa Payment - Atty Fees,2021-07-16,FPD,PAYMENT,FPD
5625571,12107,2,IMM2021.1,admin,2021-07-14,EN,2021IMM1,1.00,2021-07-14,99999,Visa Card Payment - atty fees - Claudia Rodriguez (Test),2021-07-14,FPD,PAYMENT,FPD
5625572,12107,2,IMM2021.1,admin,2021-07-20,EN,2021IMM1,150.00,2021-07-20,99999,Visa Payment - Atty Fees - Anaeli Tellez,2021-07-20,FPD,PAYMENT,FPD
5625573,8338,2,IMM2021.1,admin,2021-01-12,EN,2021IMM1,250.00,2021-01-12,99999,COD PC Silvia Santiago Cardenas,2021-01-12,FPD,PAYMENT,FPD
5625574,8338,2,IMM2021.1,admin,2021-01-19,EN,2021IMM1,250.00,2021-01-19,99999,VISA Payment COD PC Antonio Sarmiento,2021-01-19,FPD,PAYMENT,FPD
5625575,8338,2,IMM2021.1,admin,2021-01-22,EN,2021IMM1,250.00,2021-01-22,99999,COD PC Maria Tapia Consultation,2021-01-22,FPD,PAYMENT,FPD
5625576,8338,2,IMM2021.1,admin,2021-01-15,EN,2021IMM1,250.00,2021-01-15,99999,VISA Payment - COD PC Manuel Puente Rios,2021-01-15,FPD,PAYMENT,FPD
5625577,8338,2,IMM2021.1,admin,2021-02-08,EN,2021IMM1,250.00,2021-02-08,99999,Visa Payment Attorney Fees - Maritza Villalobos,2021-02-08,FPD,PAYMENT,FPD
5625578,8570,2,IMM2021.1,admin,2021-02-25,EN,2021IMM1,250.00,2021-02-25,99999,Visa Payment - Attorney Fees - Emilio Contretreras,2021-02-25,FPD,PAYMENT,FPD
5625579,8570,2,IMM2021.1,admin,2021-02-09,EN,2021IMM1,250.00,2021-02-09,99999,CASH Payment - COD PC Oscar Manuel Torres,2021-02-09,FPD,PAYMENT,FPD
5625580,8570,2,IMM2021.1,admin,2021-02-09,EN,2021IMM1,250.00,2021-02-09,99999,COD CASH Payment PC Luis Flores,2021-02-09,FPD,PAYMENT,FPD
5625581,8570,2,IMM2021.1,admin,2021-02-26,EN,2021IMM1,250.00,2021-02-26,99999,Visa Payment - Attorney Fees (Juan Fuentas & Blanca),2021-02-26,FPD,PAYMENT,FPD
5625582,8570,2,IMM2021.1,admin,2021-02-12,EN,2021IMM1,150.00,2021-02-12,99999,CASH Payment COD PC Dilcia Ramos,2021-02-12,FPD,PAYMENT,FPD
5625583,8570,2,IMM2021.1,admin,2021-02-26,EN,2021IMM1,250.00,2021-02-26,99999,CASH Payment PC Noemi Hernandez,2021-02-26,FPD,PAYMENT,FPD
5625584,9270,2,IMM2021.1,admin,2021-03-12,EN,2021IMM1,250.00,2021-03-12,99999,Visa Payment - Attorney Fees - Nelson Rios Guzman,2021-03-12,FPD,PAYMENT,FPD
5625585,9270,2,IMM2021.1,admin,2021-03-12,EN,2021IMM1,450.00,2021-03-12,99999,Visa Payment - J. Avila  Attorney Fees,2021-03-12,FPD,PAYMENT,FPD
5625586,9270,2,IMM2021.1,admin,2021-03-15,EN,2021IMM1,250.00,2021-03-15,99999,Visa Payment - Elizabeth Castro,2021-03-15,FPD,PAYMENT,FPD
5625587,9270,2,IMM2021.1,admin,2021-03-23,EN,2021IMM1,250.00,2021-03-23,99999,Visa Payment - Attorney Fees - Lesbia Pena,2021-03-23,FPD,PAYMENT,FPD
5625588,9270,2,IMM2021.1,admin,2021-03-22,EN,2021IMM1,250.00,2021-03-22,99999,Visa Payment - Attorney Fees Francisco Ecsobar,2021-03-22,FPD,PAYMENT,FPD
5625589,9270,2,IMM2021.1,admin,2021-03-30,EN,2021IMM1,250.00,2021-03-30,99999,Visa Payment - Attorney Fees - Rodrigo Perez,2021-03-30,FPD,PAYMENT,FPD
5625590,9270,2,IMM2021.1,admin,2021-03-31,EN,2021IMM1,250.00,2021-03-31,99999,COD PC Kendy Artena,2021-03-31,FPD,PAYMENT,FPD
5625591,9270,2,IMM2021.1,admin,2021-03-26,EN,2021IMM1,75.00,2021-03-26,99999,COD PC Gabriela Torres,2021-03-26,FPD,PAYMENT,FPD
5625592,9270,2,IMM2021.1,admin,2021-03-26,EN,2021IMM1,250.00,2021-03-26,99999,COD PC Yahaira R.,2021-03-26,FPD,PAYMENT,FPD
5625593,9270,2,IMM2021.1,admin,2021-03-26,EN,2021IMM1,250.00,2021-03-26,99999,COD PC Silvia Celedon,2021-03-26,FPD,PAYMENT,FPD
5625594,9270,2,IMM2021.1,admin,2021-03-31,EN,2021IMM1,850.00,2021-03-31,99999,COD PC Kevin Noyos Siomara & Jeff Christian Hernandez,2021-03-31,FPD,PAYMENT,FPD
5625595,9814,2,IMM2021.1,admin,2021-04-06,EN,2021IMM1,250.00,2021-04-06,99999,Cash Payment - Lazara Sanchez,2021-04-06,FPD,PAYMENT,FPD
5625596,9814,2,IMM2021.1,admin,2021-03-15,EN,2021IMM1,250.00,2021-03-15,99999,Cash Payment - Proceso Cantoriano,2021-03-15,FPD,PAYMENT,FPD
5625597,9814,2,IMM2021.1,admin,2021-03-15,EN,2021IMM1,250.00,2021-03-15,99999,Cash PAyment - Somara & Jefferson Ramirez,2021-03-15,FPD,PAYMENT,FPD
5625598,9814,2,IMM2021.1,admin,2021-04-14,EN,2021IMM1,250.00,2021-04-14,99999,Visa Payment - Attorney Fees - Liliana Meza,2021-04-14,FPD,PAYMENT,FPD
5625599,9814,2,IMM2021.1,admin,2021-04-13,EN,2021IMM1,250.00,2021-04-13,99999,Visa Payment - Attorney Fees - Nury Salazar,2021-04-13,FPD,PAYMENT,FPD
5625600,9814,2,IMM2021.1,admin,2021-04-14,EN,2021IMM1,385.00,2021-04-14,99999,Visa Payment - Attorney Fees - Rosendo Baez Blanco,2021-04-14,FPD,PAYMENT,FPD
5625601,9814,2,IMM2021.1,admin,2021-04-19,EN,2021IMM1,250.00,2021-04-19,99999,CASH Payments - PC Fatima Navarro,2021-04-19,FPD,PAYMENT,FPD
5625602,9814,2,IMM2021.1,admin,2021-04-19,EN,2021IMM1,250.00,2021-04-19,99999,COD PC Norman Figueroa,2021-04-19,FPD,PAYMENT,FPD
5625603,9814,2,IMM2021.1,admin,2021-04-21,EN,2021IMM1,250.00,2021-04-21,99999,Visa Payment - Attorney Fees -Victor Hugo Vidal,2021-04-21,FPD,PAYMENT,FPD
5625604,9814,2,IMM2021.1,admin,2021-04-27,EN,2021IMM1,250.00,2021-04-27,99999,Cash payment - Attorney Fees - Maria Estela Cervantes,2021-04-27,FPD,PAYMENT,FPD
5625605,9814,2,IMM2021.1,admin,2021-04-30,EN,2021IMM1,250.00,2021-04-30,99999,Visa Payment - Attorney Fees Luis Gaeta,2021-04-30,FPD,PAYMENT,FPD
5625606,10426,2,IMM2021.1,admin,2021-05-03,EN,2021IMM1,250.00,2021-05-03,99999,Cash Payment - Inez Lopez,2021-05-03,FPD,PAYMENT,FPD
5625607,10426,2,IMM2021.1,admin,2021-05-03,EN,2021IMM1,250.00,2021-05-03,99999,Cash Payment - Attorney Fees - Francisco Villanueva,2021-05-03,FPD,PAYMENT,FPD
5625608,10426,2,IMM2021.1,admin,2021-05-03,EN,2021IMM1,250.00,2021-05-03,99999,Visa Payment _ Attorney Fees - Maria M. Escobedo,2021-05-03,FPD,PAYMENT,FPD
5625609,10426,2,IMM2021.1,admin,2021-05-07,EN,2021IMM1,75.00,2021-05-07,99999,Visa Payment - Attorney Fees - Alexis Avalos,2021-05-07,FPD,PAYMENT,FPD
5625610,10426,2,IMM2021.1,admin,2021-05-14,EN,2021IMM1,250.00,2021-05-14,99999,Mastercard Payment - Attorney Fees - Seigo Martinez,2021-05-14,FPD,PAYMENT,FPD
5625611,9814,2,IMM2021.1,admin,2021-04-07,EN,2021IMM1,385.00,2021-04-07,99999,COD PC Fabian Saldana,2021-04-07,FPD,PAYMENT,FPD
5625612,10426,2,IMM2021.1,admin,2021-05-21,EN,2021IMM1,250.00,2021-05-21,99999,Visa Paymnet - Attorney Fees - Rogoberto Portillo,2021-05-21,FPD,PAYMENT,FPD
5625613,10426,2,IMM2021.1,admin,2021-05-18,EN,2021IMM1,250.00,2021-05-18,99999,Cash Payment - Attorney Fees - Claudia Acosta,2021-05-18,FPD,PAYMENT,FPD
5625614,10426,2,IMM2021.1,admin,2021-05-27,EN,2021IMM1,250.00,2021-05-27,99999,Visa Payment - Attorney Fees Antonio Valladares,2021-05-27,FPD,PAYMENT,FPD
5625615,10754,2,IMM2021.1,admin,2021-06-01,EN,2021IMM1,100.00,2021-06-01,99999,Visa Payment - Attorney Fees - Luis Daniel Guevara,2021-06-01,FPD,PAYMENT,FPD
5625616,10754,2,IMM2021.1,admin,2021-06-01,EN,2021IMM1,100.00,2021-06-01,99999,Visa Payment - Attorney Fees - Gonzalo Rosales,2021-06-01,FPD,PAYMENT,FPD
5625617,10754,2,IMM2021.1,admin,2021-06-01,EN,2021IMM1,250.00,2021-06-01,99999,Visa Payment - Attorney Fees - Hipolito Munoz,2021-06-01,FPD,PAYMENT,FPD
5625618,10754,2,IMM2021.1,admin,2021-06-01,EN,2021IMM1,250.00,2021-06-01,99999,American Express Payment - Attorney fees - Thomas Boudreaux,2021-06-01,FPD,PAYMENT,FPD
5625619,10754,2,IMM2021.1,admin,2021-06-09,EN,2021IMM1,250.00,2021-06-09,99999,Cash Payment - Attorney Fess - Cinthia Carolina Aguirre,2021-06-09,FPD,PAYMENT,FPD
5625620,10754,2,IMM2021.1,admin,2021-06-08,EN,2021IMM1,750.00,2021-06-08,99999,Cash Payment - Attorney Fees - Armando Vargas,2021-06-08,FPD,PAYMENT,FPD
5625621,10754,2,IMM2021.1,admin,2021-06-08,EN,2021IMM1,250.00,2021-06-08,99999,Cash Payment - Attorney Fees - Mariela Gomez,2021-06-08,FPD,PAYMENT,FPD
5625622,10754,2,IMM2021.1,admin,2021-06-14,EN,2021IMM1,750.00,2021-06-14,99999,Visa Payment - Attorney Fees - Karla Maria Naal Ricalde,2021-06-14,FPD,PAYMENT,FPD
5625623,10754,2,IMM2021.1,admin,2021-06-11,EN,2021IMM1,250.00,2021-06-11,99999,Mastercard Payment - Attorney Fees - Raquel Linares Silva,2021-06-11,FPD,PAYMENT,FPD
5625624,10754,2,IMM2021.1,admin,2021-06-21,EN,2021IMM1,250.00,2021-06-21,99999,American Express Payment - Attorney Fees - Antonio Vallejo,2021-06-21,FPD,PAYMENT,FPD
5625625,10426,2,IMM2021.1,admin,2021-05-31,EN,2021IMM1,250.00,2021-05-31,99999,COD PC Lazaro Resendez,2021-05-31,FPD,PAYMENT,FPD
5625626,10754,2,IMM2021.1,admin,2021-06-21,EN,2021IMM1,250.00,2021-06-21,99999,Atty Fees - Cash Payment - Teresa Jimenez,2021-06-21,FPD,PAYMENT,FPD
5625627,10754,2,IMM2021.1,admin,2021-06-30,EN,2021IMM1,75.00,2021-06-30,99999,Cash Payment - Atty Fees - David Ortiz,2021-06-30,FPD,PAYMENT,FPD
5625628,12106,2,IMM2021.1,admin,2021-07-02,EN,2021IMM1,75.00,2021-07-02,99999,Visa Paymnet - Atty Fees - Miguel Hernandez,2021-07-02,FPD,PAYMENT,FPD
5625629,13614,2,IMM2021.1,admin,2021-10-07,EN,2021IMM1,150.00,2021-10-07,99999,Cash Payment - Atty fees - Deysi Valdez,2021-10-07,FPD,PAYMENT,FPD
5625630,12106,2,IMM2021.1,admin,2021-07-14,EN,2021IMM1,250.00,2021-07-14,99999,Cash Payment - Atty Fees - Veronica Jimenez,2021-07-14,FPD,PAYMENT,FPD
5625631,12106,2,IMM2021.1,admin,2021-07-13,EN,2021IMM1,250.00,2021-07-13,99999,Mastercard Payment - Atty Fees - Angel Reyes,2021-07-13,FPD,PAYMENT,FPD
5625632,10754,2,IMM2021.1,admin,2021-06-11,EN,2021IMM1,250.00,2021-06-11,99999,COD PC Raque Liumadres,2021-06-11,FPD,PAYMENT,FPD
5625633,12106,2,IMM2021.1,admin,2021-07-12,EN,2021IMM1,250.00,2021-07-12,99999,COD PC Berta Leticia,2021-07-12,FPD,PAYMENT,FPD
5625634,12106,2,IMM2021.1,admin,2021-07-21,EN,2021IMM1,1500.00,2021-07-21,99999,Visa Payment - Atty fees - Elias Sanchez,2021-07-21,FPD,PAYMENT,FPD
5625635,12106,2,IMM2021.1,admin,2021-07-23,EN,2021IMM1,450.00,2021-07-23,99999,Visa Payment - Atty Fees - Dennis Dobrovolsky,2021-07-23,FPD,PAYMENT,FPD
5625636,12106,2,IMM2021.1,admin,2021-07-23,EN,2021IMM1,250.00,2021-07-23,99999,Visa Payment - Atty Fees - Miguel Zarasua,2021-07-23,FPD,PAYMENT,FPD
5625637,13613,2,IMM2021.1,admin,2021-08-03,EN,2021IMM1,250.00,2021-08-03,99999,Visa Payment - Atty Fees - Jose Chino,2021-08-03,FPD,PAYMENT,FPD
5625638,13613,2,IMM2021.1,admin,2021-08-03,EN,2021IMM1,150.00,2021-08-03,99999,Visa Payment - Atty Fees Enedina,2021-08-03,FPD,PAYMENT,FPD
